

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 19,1
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:3,3,1,0.646628,0.646628,0,6.38589,7.10065

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 25,45
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.719145,0.542271,1.58798e-05,0.848633,1.6646
:6:1,2,1,0.835763,0.466168,3.69687e-05,1.64876,3.2761
:6:1,3,1,0.898445,0.402742,5.33247e-05,2.51308,4.94063
:6:2,1,1,0.592323,0.592323,0,1.61855,2.36679
:6:2,2,1,0.689504,0.689504,0,3.20974,4.73353
:6:2,3,1,0.751215,0.751215,0,4.93448,7.10039
:6:3,1,1,0.536443,0.536443,0,2.49486,2.36688
:6:3,2,1,0.601555,0.601555,0,4.90742,4.73376
:6:3,3,1,0.644315,0.644315,0,6.97654,7.10065


:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 35,1
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.570757,0.570757,0,0.0210522,2.36687
:6:1,2,1,0.654913,0.654913,0,0.0369915,4.73373
:6:1,3,1,0.714151,0.714151,0,0.0528453,7.1006
:6:2,1,1,0.490832,0.490832,0,0.0350861,2.36687
:6:2,2,1,0.525623,0.525623,0,0.0666173,4.73375
:6:2,3,1,0.558533,0.558533,0,0.0952616,7.10062
:6:3,1,1,0.466385,0.466385,0,0.0524492,2.36688
:6:3,2,1,0.481429,0.481429,0,0.0931721,4.73376
:6:3,3,1,0.493653,0.493653,0,0.135576,7.10065

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 35,11
:5:b,r,c,Avg_Recall,Avg_Precision,Avg_FPR,Avg_Query_Time_ms,Avg_Index_Size_MB
:6:1,1,1,0.578711,0.578711,0,0.210605,2.36687
:6:1,2,1,0.686157,0.686157,0,0.422461,4.73373
:6:1,3,1,0.729135,0.729135,0,0.632629,7.1006
:6:2,1,1,0.482759,0.482759,0,0.397633,2.36687
:6:2,2,1,0.522239,0.522239,0,0.831245,4.73375
:6:2,3,1,0.552224,0.552224,0,1.25045,7.10062
:6:3,1,1,0.441279,0.441279,0,0.619452,2.36688
:6:3,2,1,0.45977,0.45977,0,1.27855,4.73376
:6:3,3,1,0.481759,0.481759,0,1.89079,7.10065

:1:LSH Approx Nearest Neighbour Summary
:2:Hashname,SequenceLength,Distance Metric,Mutation Model,Mutation Expression
:3:SubseqHash-64,50,Edit,1,0
:4.1: k,d
:4.2: Subsequence Length 'k',Parameter 'd'
:4.3: 35,19
